transaction_date,ticker,id
03-09-2020,DOW,222
03-10-2020,VWO,224
03-10-2020,HAL,225
03-10-2020,XOM,226
03-10-2020,BRK-B,227
02-20-2020,BAM,228
01-14-2020,CMCSA,230
01-14-2020,CSCO,231
01-14-2020,GS,232
01-14-2020,CVX,233
01-14-2020,UL,234
01-08-2020,PRU,235
01-31-2020,TJX,238
01-31-2020,ROST,239
01-31-2020,AZO,240
01-30-2020,AZO,241
01-29-2020,ROST,242
01-29-2020,KEYS,243
01-29-2020,CMCSA,244
01-28-2020,REZI,245
01-27-2020,REZI,246
01-21-2020,DFS,247
01-24-2020,REZI,251
02-14-2020,ORCL,252
02-14-2020,XOM,253
02-14-2020,CTXS,254
02-12-2020,FNKO,255
02-12-2020,EEFT,256
02-11-2020,ORLY,257
02-11-2020,FNKO,258
02-10-2020,FNKO,259
02-10-2020,AZO,260
02-10-2020,ARNA,261
02-07-2020,TCEHY,262
02-07-2020,ROKU,263
02-07-2020,FNKO,264
02-07-2020,ARNA,265
02-06-2020,TCEHY,266
02-06-2020,KL,267
02-06-2020,CMCSA,268
02-06-2020,AZO,269
02-05-2020,HON,270
02-05-2020,MRK,271
02-05-2020,DFS,272
02-05-2020,DAL,273
02-05-2020,EMR,274
02-14-2020,CAT,275
02-14-2020,AFL,276
03-04-2020,WFC,278
02-18-2020,WMT,281
02-11-2020,NVDA,282
02-11-2020,MSFT,283
02-22-2020,HQL,284
02-22-2020,HQL,285
02-22-2020,BSTZ,286
02-22-2020,BSTZ,287
02-28-2020,GM,292
02-28-2020,PFE,293
02-28-2020,DD,294
02-28-2020,DD,295
02-28-2020,DVN,296
02-28-2020,PFE,297
02-28-2020,PFE,298
02-28-2020,CZR,299
02-28-2020,CZR,300
02-27-2020,DD,301
02-27-2020,PFE,302
02-27-2020,DD,303
02-27-2020,DAL,304
02-27-2020,PFE,305
02-27-2020,DD,306
02-27-2020,CZR,307
02-27-2020,CZR,308
02-27-2020,CZR,309
02-26-2020,PFE,310
02-26-2020,PFE,311
02-26-2020,CZR,312
02-26-2020,GPK,313
02-26-2020,CZR,314
02-26-2020,DD,315
02-26-2020,PFE,316
02-26-2020,DD,317
02-26-2020,T,318
02-26-2020,VIAC,319
02-26-2020,T,320
02-26-2020,DIS,322
02-25-2020,CZR,323
02-25-2020,FEYE,324
02-25-2020,GPK,325
02-25-2020,DAL,326
02-25-2020,T,327
02-25-2020,VIAC,328
02-25-2020,DVN,329
02-25-2020,T,330
02-25-2020,T,331
02-25-2020,CZR,332
02-25-2020,T,333
02-25-2020,VIAC,334
02-24-2020,T,335
02-24-2020,CZR,336
02-24-2020,VIAC,337
02-24-2020,TRP,338
02-24-2020,T,339
02-24-2020,CZR,340
02-24-2020,DAL,341
02-24-2020,T,342
02-24-2020,TRP,343
02-07-2020,HBI,344
02-07-2020,HBI,345
02-10-2020,WMB,346
02-10-2020,TRGP,347
02-10-2020,TRGP,348
02-10-2020,HBI,349
02-10-2020,ET,350
02-10-2020,ET,351
02-11-2020,AAPL,352
02-13-2020,ET,353
02-13-2020,ET,354
02-19-2020,WMB,355
02-19-2020,WMB,356
02-19-2020,TRGP,357
02-19-2020,MPLX,358
02-19-2020,ENB,359
02-19-2020,DCP,360
02-19-2020,DCP,361
02-19-2020,LNG,362
02-19-2020,ALB,363
02-20-2020,WES,364
02-20-2020,WES,365
02-20-2020,SHLX,366
02-20-2020,OKE,367
02-20-2020,T,368
02-21-2020,PSXP,369
02-21-2020,PSXP,370
02-21-2020,PSXP,371
02-21-2020,VIAC,372
02-21-2020,T,373
01-29-2020,BMEZ,378
01-27-2020,PYPL,379
01-27-2020,INTU,380
01-27-2020,DHR,381
01-27-2020,BAM,382
01-27-2020,AAPL,383
01-14-2020,CMCSA,388
01-14-2020,CSCO,389
01-14-2020,GS,390
01-14-2020,CVX,391
01-14-2020,UL,392
01-08-2020,PRU,393
01-31-2020,TJX,396
01-31-2020,ROST,397
01-31-2020,AZO,398
01-30-2020,AZO,399
01-29-2020,ROST,400
01-29-2020,KEYS,401
01-29-2020,CMCSA,402
01-28-2020,REZI,403
01-27-2020,REZI,404
01-21-2020,DFS,405
01-24-2020,REZI,409
01-13-2020,ENTG,411
01-13-2020,URBN,412
01-30-2020,BAC,413
01-30-2020,BAC,414
01-29-2020,GLW,415
01-29-2020,AXTA,416
01-28-2020,AAPL,417
01-27-2020,WPX,418
01-27-2020,GPK,419
01-24-2020,BAC,420
01-24-2020,WPX,421
01-24-2020,DD,422
01-24-2020,DD,423
01-23-2020,CDLX,424
01-22-2020,GPK,425
01-21-2020,URBN,426
01-14-2020,GPK,427
01-14-2020,ENTG,428
01-13-2020,URBN,429
01-10-2020,AAPL,430
01-10-2020,ENTG,431
01-10-2020,URBN,432
01-07-2020,FEYE,433
01-06-2020,ALB,434
01-21-2020,MA,438
01-13-2020,KSS,439
01-13-2020,NFLX,440
01-10-2020,AMZN,441
01-10-2020,NFLX,442
01-06-2020,MA,443
01-06-2020,NVDA,444
01-06-2020,AMZN,445
01-13-2020,ETY,446
